key,α,β,γ,R,都道府県,市区町村郡
1,-0.0957,-2.84,-0.8,40,北海道,稚内市
1,-0.0957,-2.84,-0.8,40,北海道,天塩郡のうち天塩町、幌延町及び豊富町
1,-0.0957,-2.84,-0.8,40,北海道,宗谷郡
1,-0.0957,-2.84,-0.8,40,北海道,枝幸郡のうち浜頓別町及び中頓別町
1,-0.0957,-2.84,-0.8,40,北海道,礼文郡
1,-0.0957,-2.84,-0.8,40,北海道,利尻郡
2,-0.0194,-0.56,-2.18,20,北海道,中川郡のうち美深町、音威子府村及び中川町
2,-0.0194,-0.56,-2.18,20,北海道,苫前郡のうち羽幌町及び初山別村
2,-0.0194,-0.56,-2.18,20,北海道,天塩郡のうち遠別町
2,-0.0194,-0.56,-2.18,20,北海道,枝幸郡のうち枝幸町及び歌登町
3,-0.0027,-8.51,-1.2,20,北海道,旭川市
3,-0.0027,-8.51,-1.2,20,北海道,夕張市
3,-0.0027,-8.51,-1.2,20,北海道,芦別市
3,-0.0027,-8.51,-1.2,20,北海道,士別市
3,-0.0027,-8.51,-1.2,20,北海道,名寄市
3,-0.0027,-8.51,-1.2,20,北海道,千歳市
3,-0.0027,-8.51,-1.2,20,北海道,富良野市
3,-0.0027,-8.51,-1.2,20,北海道,虻田郡のうち真狩村及び留寿都村
3,-0.0027,-8.51,-1.2,20,北海道,夕張郡のうち由仁町及び栗山町
3,-0.0027,-8.51,-1.2,20,北海道,上川郡のうち鷹栖町、東神楽町、当麻町、比布町、愛別町、上川町、東川町、美瑛町、和寒町、剣淵町、朝日町、風連町、下川町及び新得町
3,-0.0027,-8.51,-1.2,20,北海道,空知郡のうち上富良野町、中富良野町及び南富良野町
3,-0.0027,-8.51,-1.2,20,北海道,勇払郡のうち占冠村、追分町及び穂別町
3,-0.0027,-8.51,-1.2,20,北海道,沙流郡のうち日高町及び平取町
3,-0.0027,-8.51,-1.2,20,北海道,有珠郡のうち大滝村
4,-0.0095,-0.37,-1.4,40,北海道,札幌市
4,-0.0095,-0.37,-1.4,40,北海道,小樽市
4,-0.0095,-0.37,-1.4,40,北海道,岩見沢市
4,-0.0095,-0.37,-1.4,40,北海道,留萌市
4,-0.0095,-0.37,-1.4,40,北海道,美唄市
4,-0.0095,-0.37,-1.4,40,北海道,江別市
4,-0.0095,-0.37,-1.4,40,北海道,赤平市
4,-0.0095,-0.37,-1.4,40,北海道,三笠市
4,-0.0095,-0.37,-1.4,40,北海道,滝川市
4,-0.0095,-0.37,-1.4,40,北海道,砂川市
4,-0.0095,-0.37,-1.4,40,北海道,歌志内市
4,-0.0095,-0.37,-1.4,40,北海道,深川市
4,-0.0095,-0.37,-1.4,40,北海道,恵庭市
4,-0.0095,-0.37,-1.4,40,北海道,北広島市
4,-0.0095,-0.37,-1.4,40,北海道,石狩市
4,-0.0095,-0.37,-1.4,40,北海道,石狩郡
4,-0.0095,-0.37,-1.4,40,北海道,厚田郡
4,-0.0095,-0.37,-1.4,40,北海道,浜益郡
4,-0.0095,-0.37,-1.4,40,北海道,虻田郡のうち喜茂別町、京極町及び倶知安町
4,-0.0095,-0.37,-1.4,40,北海道,岩内郡のうち共和町
4,-0.0095,-0.37,-1.4,40,北海道,古宇郡
4,-0.0095,-0.37,-1.4,40,北海道,積丹郡
4,-0.0095,-0.37,-1.4,40,北海道,古平郡
4,-0.0095,-0.37,-1.4,40,北海道,余市郡
4,-0.0095,-0.37,-1.4,40,北海道,空知郡のうち北村、栗沢町、南幌町、奈井江町及び上砂川町
4,-0.0095,-0.37,-1.4,40,北海道,夕張郡のうち長沼町
4,-0.0095,-0.37,-1.4,40,北海道,樺戸郡
4,-0.0095,-0.37,-1.4,40,北海道,雨竜郡
4,-0.0095,-0.37,-1.4,40,北海道,増毛郡
4,-0.0095,-0.37,-1.4,40,北海道,留萌郡
4,-0.0095,-0.37,-1.4,40,北海道,苫前郡のうち苫前町
5,-0.0041,-1.92,-2.34,20,北海道,松前郡
5,-0.0041,-1.92,-2.34,20,北海道,上磯郡のうち知内町及び木古内町
5,-0.0041,-1.92,-2.34,20,北海道,桧山郡
5,-0.0041,-1.92,-2.34,20,北海道,爾志郡
5,-0.0041,-1.92,-2.34,20,北海道,久遠郡
5,-0.0041,-1.92,-2.34,20,北海道,奥尻郡
5,-0.0041,-1.92,-2.34,20,北海道,瀬棚郡
5,-0.0041,-1.92,-2.34,20,北海道,島牧郡
5,-0.0041,-1.92,-2.34,20,北海道,寿都郡
5,-0.0041,-1.92,-2.34,20,北海道,磯谷郡
5,-0.0041,-1.92,-2.34,20,北海道,虻田郡のうちニセコ町
5,-0.0041,-1.92,-2.34,20,北海道,岩内郡のうち岩内町
6,-0.0071,-3.42,-2.98,40,北海道,紋別市
6,-0.0071,-3.42,-2.98,40,北海道,常呂郡のうち佐呂間町
6,-0.0071,-3.42,-2.98,40,北海道,紋別郡のうち遠軽町、上湧別町、湧別町、滝上町、興部町、西興部村及び雄武町
7,-0.01,-1.05,-1.37,20,北海道,釧路市
7,-0.01,-1.05,-1.37,20,北海道,根室市
7,-0.01,-1.05,-1.37,20,北海道,釧路郡
7,-0.01,-1.05,-1.37,20,北海道,厚岸郡
7,-0.01,-1.05,-1.37,20,北海道,川上郡のうち標茶町
7,-0.01,-1.05,-1.37,20,北海道,阿寒郡
7,-0.01,-1.05,-1.37,20,北海道,白糖郡のうち白糖町
7,-0.01,-1.05,-1.37,20,北海道,野付郡
7,-0.01,-1.05,-1.37,20,北海道,標津郡
8,-0.0108,-0.95,-1.08,20,北海道,帯広市
8,-0.0108,-0.95,-1.08,20,北海道,河東郡のうち音更町、士幌町及び鹿追町
8,-0.0108,-0.95,-1.08,20,北海道,上川郡のうち清水町
8,-0.0108,-0.95,-1.08,20,北海道,河西郡
8,-0.0108,-0.95,-1.08,20,北海道,広尾郡
8,-0.0108,-0.95,-1.08,20,北海道,中川郡のうち幕別町、池田町及び豊頃町、十勝郡
8,-0.0108,-0.95,-1.08,20,北海道,白糖郡のうち音別町
9,-0.0009,-0.94,-1.23,20,北海道,函館市
9,-0.0009,-0.94,-1.23,20,北海道,室蘭市
9,-0.0009,-0.94,-1.23,20,北海道,苫小牧市
9,-0.0009,-0.94,-1.23,20,北海道,登別市
9,-0.0009,-0.94,-1.23,20,北海道,伊達市
9,-0.0009,-0.94,-1.23,20,北海道,上磯郡のうち上磯町
9,-0.0009,-0.94,-1.23,20,北海道,亀田郡
9,-0.0009,-0.94,-1.23,20,北海道,茅部郡
9,-0.0009,-0.94,-1.23,20,北海道,山越郡
9,-0.0009,-0.94,-1.23,20,北海道,虻田郡のうち豊浦町、虻田町及び洞爺村
9,-0.0009,-0.94,-1.23,20,北海道,有珠郡のうち壮瞥町
9,-0.0009,-0.94,-1.23,20,北海道,白老郡
