key,V0,都道府県,市区町村郡
1,30,,（2）から（9）までに掲げる地方以外の地方
2,32,北海道,札幌市
2,32,北海道,小樽市
2,32,北海道,網走市
2,32,北海道,留萌市
2,32,北海道,稚内市
2,32,北海道,江別市
2,32,北海道,紋別市
2,32,北海道,名寄市
2,32,北海道,千歳市
2,32,北海道,恵庭市
2,32,北海道,北広島市
2,32,北海道,石狩市
2,32,北海道,石狩郡
2,32,北海道,厚田郡
2,32,北海道,浜益郡
2,32,北海道,空知郡のうち南幌町
2,32,北海道,夕張郡のうち由仁町及び長沼町
2,32,北海道,上川郡のうち風連町及び下川町
2,32,北海道,中川郡のうち美深町、音威子村及び中川町
2,32,北海道,増毛郡
2,32,北海道,留萌郡
2,32,北海道,苫前郡
2,32,北海道,天塩郡
2,32,北海道,宗谷郡
2,32,北海道,枝幸郡
2,32,北海道,礼文郡
2,32,北海道,利尻郡
2,32,北海道,網走郡のうち東藻琴村、女満別町及び美幌町
2,32,北海道,斜里郡のうち清里町及び小清水町
2,32,北海道,常呂郡のうち端野町、佐呂間町及び常呂町
2,32,北海道,紋別郡のうち上湧別町、湧別町、興部町
2,32,北海道,西興部村及び雄武町
2,32,北海道,勇払郡のうち追分町及び穂別町
2,32,北海道,沙流郡のうち平取町
2,32,北海道,新冠郡
2,32,北海道,静内郡
2,32,北海道,三石郡
2,32,北海道,浦河郡
2,32,北海道,様似郡
2,32,北海道,幌泉郡
2,32,北海道,厚岸郡のうち厚岸町
2,32,北海道,川上郡
2,32,岩手県,久慈市
2,32,岩手県,岩手郡のうち葛巻町
2,32,岩手県,下閉伊郡のうち田野畑村及び普代村
2,32,岩手県,九戸郡のうち野田村及び山形村
2,32,岩手県,二戸郡
2,32,秋田県,秋田市
2,32,秋田県,大館市
2,32,秋田県,本荘市
2,32,秋田県,鹿角市
2,32,秋田県,鹿角郡
2,32,秋田県,北秋田郡のうち鷹巣町、比内町、合川町及び上小阿仁村
2,32,秋田県,南秋田郡のうち五城目町、昭和町、八郎潟町、飯田川町、天王町及び井川町
2,32,秋田県,由利郡のうち仁賀保町、金浦町、象潟町、岩城町及び西目町
2,32,山形県,鶴岡市
2,32,山形県,酒田市
2,32,山形県,西田川郡
2,32,山形県,飽海郡のうち遊佐町
2,32,茨城県,水戸市
2,32,茨城県,下妻市
2,32,茨城県,ひたちなか市
2,32,茨城県,東茨城郡のうち内原町
2,32,茨城県,西茨城郡のうち友部町及び岩間町
2,32,茨城県,新治郡のうち八郷町
2,32,茨城県,真壁郡のうち明野町及び真壁町
2,32,茨城県,結城郡
2,32,茨城県,猿島郡のうち五霞町、猿島町及び境町
2,32,埼玉県,川越市
2,32,埼玉県,大宮市
2,32,埼玉県,所沢市
2,32,埼玉県,狭山市
2,32,埼玉県,上尾市
2,32,埼玉県,与野市
2,32,埼玉県,入間市
2,32,埼玉県,桶川市
2,32,埼玉県,久喜市
2,32,埼玉県,富士見市
2,32,埼玉県,上福岡市
2,32,埼玉県,蓮田市
2,32,埼玉県,幸手市
2,32,埼玉県,北足立郡のうち伊奈町
2,32,埼玉県,入間郡のうち大井町及び三芳町
