*,key,種類,D,t,A,W,Ix,ix,Zx,Zpx,幅厚比235,幅厚比325,幅厚比355,幅厚比385,幅厚比440
_,〇-400x9,UOE/板巻き,400,9,110.6,86.8,21100,13.8,1060,1380,FA,FB,,,
_,〇-400x12,UOE/板巻き,400,12,146.3,115,27600,13.7,1380,1810,FA,FA,,,
_,〇-400x16,UOE/板巻き,400,16,193,152,35600,13.6,1780,2360,FA,FA,FA,,
_,〇-400x19,UOE/板巻き,400,19,227.4,179,41400,13.5,2070,2760,FA,FA,FA,FA,FA
_,〇-400x22,UOE/板巻き,400,22,261.3,205,46800,13.4,2340,3150,FA,FA,FA,FA,FA
_,〇-400x25,UOE/板巻き,400,25,294.5,231,52000,13.3,2600,3520,FA,FA,FA,FA,FA
_,〇-400x28,UOE/板巻き,400,28,327.2,257,56900,13.2,2850,3880,FA,FA,FA,FA,FA
_,〇-400x32,UOE/板巻き,400,32,370,290,63100,13.1,3150,4340,FA,FA,FA,FA,FA
_,〇-400x36,UOE/板巻き,400,36,411.7,323,68800,12.9,3440,4790,FA,FA,FA,FA,FA
_,〇-400x40,UOE/板巻き,400,40,452.4,355,74200,12.8,3710,5210,FA,FA,FA,FA,
_,〇-450x12,UOE/板巻き,450,12,165.1,130,39600,15.5,1760,2300,FA,FB,,,
_,〇-450x16,UOE/板巻き,450,16,218.2,171,51400,15.4,2290,3020,FA,FA,FA,,
_,〇-450x19,UOE/板巻き,450,19,257.3,202,59900,15.3,2660,3530,FA,FA,FA,FA,FA
_,〇-450x22,UOE/板巻き,450,22,295.8,232,67900,15.2,3020,4030,FA,FA,FA,FA,FA
_,〇-450x25,UOE/板巻き,450,25,333.8,262,75600,15.1,3360,4520,FA,FA,FA,FA,FA
_,〇-450x28,UOE/板巻き,450,28,371.2,291,83000,15,3690,4990,FA,FA,FA,FA,FA
_,〇-450x32,UOE/板巻き,450,32,420.2,330,92300,14.8,4100,5600,FA,FA,FA,FA,FA
_,〇-450x36,UOE/板巻き,450,36,468.2,368,101000,14.7,4490,6190,FA,FA,FA,FA,FA
_,〇-450x40,UOE/板巻き,450,40,515.2,404,109000,14.6,4860,6750,FA,FA,FA,FA,FA
_,〇-450x45,UOE/板巻き,450,45,572.6,449,119000,14.4,5280,7410,FA,FA,FA,FA,
_,〇-500x12,UOE/板巻き,500,12,184,144,54800,17.3,2190,2860,FA,FB,,,
_,〇-500x16,UOE/板巻き,500,16,243.3,191,71300,17.1,2850,3750,FA,FA,FA,,
_,〇-500x19,UOE/板巻き,500,19,287.1,225,83200,17,3330,4400,FA,FA,FA,FA,FA
_,〇-500x22,UOE/板巻き,500,22,330.4,259,94600,16.9,3780,5030,FA,FA,FA,FA,FA
_,〇-500x25,UOE/板巻き,500,25,373.1,293,106000,16.8,4220,5650,FA,FA,FA,FA,FA
_,〇-500x28,UOE/板巻き,500,28,415.2,326,116000,16.7,4640,6250,FA,FA,FA,FA,FA
_,〇-500x32,UOE/板巻き,500,32,470.5,369,129000,16.6,5180,7020,FA,FA,FA,FA,FA
_,〇-500x36,UOE/板巻き,500,36,524.8,412,142000,16.5,5680,7770,FA,FA,FA,FA,FA
_,〇-500x40,UOE/板巻き,500,40,578.1,454,154000,16.3,6160,8490,FA,FA,FA,FA,FA
_,〇-500x45,UOE/板巻き,500,45,643.2,505,168000,16.2,6720,9350,FA,FA,FA,FA,FA
_,〇-500x50,UOE/板巻き,500,50,706.9,555,181000,16,7250,10200,FA,FA,FA,FA,
_,〇-550x12,UOE/板巻き,550,12,202.8,159,73400,19,2670,3470,FA,FB,,,
_,〇-550x16,UOE/板巻き,550,16,268.4,211,95800,18.9,3480,4560,FA,FA,FB,,
_,〇-550x19,UOE/板巻き,550,19,317,249,112000,18.8,4070,5360,FA,FA,FA,FA,FB
_,〇-550x22,UOE/板巻き,550,22,364.9,286,127000,18.7,4630,6140,FA,FA,FA,FA,FA
_,〇-550x25,UOE/板巻き,550,25,412.3,324,142000,18.6,5180,6900,FA,FA,FA,FA,FA
_,〇-550x28,UOE/板巻き,550,28,459.2,360,157000,18.5,5700,7640,FA,FA,FA,FA,FA
_,〇-550x32,UOE/板巻き,550,32,520.8,409,175000,18.3,6380,8600,FA,FA,FA,FA,FA
_,〇-550x36,UOE/板巻き,550,36,581.3,456,193000,18.2,7020,9530,FA,FA,FA,FA,FA
_,〇-550x40,UOE/板巻き,550,40,640.9,503,210000,18.1,7620,10400,FA,FA,FA,FA,FA
_,〇-550x45,UOE/板巻き,550,45,713.9,560,229000,17.9,8340,11500,FA,FA,FA,FA,FA
_,〇-550x50,UOE/板巻き,550,50,785.4,616,248000,17.8,9010,12500,FA,FA,FA,FA,
_,〇-550x55,UOE/板巻き,550,55,855.3,671,265000,17.6,9640,13500,FA,FA,FA,FA,
_,〇-600x12,UOE/板巻き,600,12,221.7,174,95800,20.8,3190,4150,FA,FB,,,
_,〇-600x16,UOE/板巻き,600,16,293.6,230,125000,20.7,4170,5460,FA,FB,FB,,
_,〇-600x19,UOE/板巻き,600,19,346.8,272,146000,20.6,4880,6420,FA,FA,FA,FB,FB
_,〇-600x22,UOE/板巻き,600,22,399.5,314,167000,20.5,5570,7350,FA,FA,FA,FA,FB
_,〇-600x25,UOE/板巻き,600,25,451.6,354,187000,20.3,6230,8270,FA,FA,FA,FA,FA
_,〇-600x28,UOE/板巻き,600,28,503.2,395,206000,20.2,6880,9170,FA,FA,FA,FA,FA
_,〇-600x32,UOE/板巻き,600,32,571,448,231000,20.1,7700,10300,FA,FA,FA,FA,FA
_,〇-600x36,UOE/板巻き,600,36,637.9,501,255000,20,8490,11500,FA,FA,FA,FA,FA
_,〇-600x40,UOE/板巻き,600,40,703.7,552,277000,19.8,9240,12600,FA,FA,FA,FA,FA
_,〇-600x45,UOE/板巻き,600,45,784.6,616,304000,19.7,10100,13900,FA,FA,FA,FA,FA
_,〇-600x50,UOE/板巻き,600,50,863.9,678,329000,19.5,11000,15200,FA,FA,FA,FA,FA
_,〇-600x55,UOE/板巻き,600,55,941.7,739,353000,19.4,11800,16400,FA,FA,FA,FA,
_,〇-600x60,UOE/板巻き,600,60,1018,799,376000,19.2,12500,17600,FA,FA,FA,FA,
_,〇-650x12,UOE/板巻き,650,12,240.5,189,122000,22.6,3770,4890,FB,FC,,,
_,〇-650x16,UOE/板巻き,650,16,318.7,250,160000,22.4,4930,6430,FA,FB,FB,,
_,〇-650x19,UOE/板巻き,650,19,376.6,296,188000,22.3,5770,7570,FA,FA,FB,FB,FB
_,〇-650x22,UOE/板巻き,650,22,434,341,214000,22.2,6590,8680,FA,FA,FA,FA,FB
_,〇-650x25,UOE/板巻き,650,25,490.9,385,240000,22.1,7390,9770,FA,FA,FA,FA,FA
_,〇-650x28,UOE/板巻き,650,28,547.1,429,265000,22,8160,10800,FA,FA,FA,FA,FA
_,〇-650x32,UOE/板巻き,650,32,621.3,488,297000,21.9,9150,12200,FA,FA,FA,FA,FA
_,〇-650x36,UOE/板巻き,650,36,694.4,545,328000,21.7,10100,13600,FA,FA,FA,FA,FA
_,〇-650x40,UOE/板巻き,650,40,766.5,602,358000,21.6,11000,14900,FA,FA,FA,FA,FA
_,〇-650x45,UOE/板巻き,650,45,855.3,671,393000,21.4,12100,16500,FA,FA,FA,FA,FA
_,〇-650x50,UOE/板巻き,650,50,942.5,740,427000,21.3,13100,18000,FA,FA,FA,FA,FA
_,〇-650x55,UOE/板巻き,650,55,1028,807,459000,21.1,14100,19500,FA,FA,FA,FA,FA
_,〇-650x60,UOE/板巻き,650,60,1112,873,489000,21,15000,21000,FA,FA,FA,FA,
