key,厚さ,幅,断面積,単位質量
FB-25x4.5,4.5,25,1.125,0.88
FB-32x4.5,4.5,32,1.44,1.13
FB-38x4.5,4.5,38,1.71,1.34
FB-44x4.5,4.5,44,1.98,1.55
FB-50x4.5,4.5,50,2.25,1.77
FB-65x4.5,4.5,65,2.925,2.3
FB-75x4.5,4.5,75,3.375,2.65
FB-90x4.5,4.5,90,4.05,3.18
FB-100x4.5,4.5,100,4.5,3.53
FB-125x4.5,4.5,125,5.625,4.42
FB-150x4.5,4.5,150,6.75,5.3
FB-25x6,6,25,1.5,1.18
FB-32x6,6,32,1.92,1.51
FB-38x6,6,38,2.28,1.79
FB-44x6,6,44,2.64,2.07
FB-50x6,6,50,3,2.36
FB-65x6,6,65,3.9,3.06
FB-75x6,6,75,4.5,3.53
FB-90x6,6,90,5.4,4.24
FB-100x6,6,100,6,4.71
FB-125x6,6,125,7.5,5.89
FB-150x6,6,150,9,7.06
FB-180x6,6,180,10.8,8.48
FB-200x6,6,200,12,9.42
FB-230x6,6,230,13.8,10.8
FB-250x6,6,250,15,11.8
FB-280x6,6,280,16.8,13.2
FB-300x6,6,300,18,14.1
FB-25x8,8,25,2,1.57
FB-32x8,8,32,2.56,2.01
FB-38x8,8,38,3.04,2.39
FB-44x8,8,44,3.52,2.76
FB-50x8,8,50,4,3.14
FB-65x8,8,65,5.2,4.08
FB-75x8,8,75,6,4.71
FB-90x8,8,90,7.2,5.65
FB-100x8,8,100,8,6.28
FB-125x8,8,125,10,7.85
FB-150x8,8,150,12,9.42
FB-180x8,8,180,14.4,11.3
FB-200x8,8,200,16,12.6
FB-230x8,8,230,18.4,14.4
FB-250x8,8,250,20,15.7
FB-280x8,8,280,22.4,17.6
FB-300x8,8,300,24,18.8
FB-350x8,8,350,28,22
FB-400x8,8,400,32,25.1
FB-25x9,9,25,2.25,1.77
FB-32x9,9,32,2.88,2.26
FB-38x9,9,38,3.42,2.68
FB-44x9,9,44,3.96,3.11
FB-50x9,9,50,4.5,3.53
FB-65x9,9,65,5.85,4.59
FB-75x9,9,75,6.75,5.3
FB-90x9,9,90,8.1,6.36
FB-100x9,9,100,9,7.06
FB-125x9,9,125,11.25,8.83
FB-150x9,9,150,13.5,10.6
FB-180x9,9,180,16.2,12.7
FB-200x9,9,200,18,14.1
FB-230x9,9,230,20.7,16.2
FB-250x9,9,250,22.5,17.7
FB-280x9,9,280,25.2,19.8
FB-300x9,9,300,27,21.2
FB-350x9,9,350,31.5,24.7
FB-400x9,9,400,36,28.3
FB-25x12,12,25,3,2.36
FB-32x12,12,32,3.84,3.01
FB-38x12,12,38,4.56,3.58
FB-44x12,12,44,5.28,4.14
FB-50x12,12,50,6,4.71
FB-65x12,12,65,7.8,6.12
FB-75x12,12,75,9,7.06
FB-90x12,12,90,10.8,8.48
FB-100x12,12,100,12,9.42
FB-125x12,12,125,15,11.8
FB-150x12,12,150,18,14.1
FB-180x12,12,180,21.6,17
FB-200x12,12,200,24,18.8
FB-230x12,12,230,27.6,21.7
FB-250x12,12,250,30,23.6
FB-280x12,12,280,33.6,26.4
FB-300x12,12,300,36,28.3
FB-350x12,12,350,42,33
FB-400x12,12,400,48,37.7
FB-32x16,16,32,5.12,4.02
FB-38x16,16,38,6.08,4.77
FB-44x16,16,44,7.04,5.53
FB-50x16,16,50,8,6.28
FB-65x16,16,65,10.4,8.16
FB-75x16,16,75,12,9.42
FB-90x16,16,90,14.4,11.3
FB-100x16,16,100,16,12.6
FB-125x16,16,125,20,15.7
FB-150x16,16,150,24,18.8
FB-180x16,16,180,28.8,22.6
FB-200x16,16,200,32,25.1
FB-230x16,16,230,36.8,28.9
FB-250x16,16,250,40,31.4
FB-280x16,16,280,44.8,35.2
FB-300x16,16,300,48,37.7
FB-350x16,16,350,56,44
FB-400x16,16,400,64,50.2
FB-450x16,16,450,72,56.5
FB-500x16,16,500,80,62.8
FB-38x19,19,38,7.22,5.67
FB-44x19,19,44,8.36,6.56
FB-50x19,19,50,9.5,7.46
FB-65x19,19,65,12.35,9.69
FB-75x19,19,75,14.25,11.2
FB-90x19,19,90,17.1,13.4
FB-100x19,19,100,19,14.9
FB-125x19,19,125,23.75,18.6
FB-150x19,19,150,28.5,22.4
FB-180x19,19,180,34.2,26.8
FB-200x19,19,200,38,29.8
FB-230x19,19,230,43.7,34.3
FB-250x19,19,250,47.5,37.3
FB-280x19,19,280,53.2,41.8
