*,シリーズ,鋼種,key,H,B,t,R,A,W,Ix,ix,Zx,Zpx,235,295,325,385,440
*,200x200,STKR,□-200x200x6,200,200,6,18,45.63,35.8,2830,7.88,283,330,FB,,FC,,
*,200x200,STKR,□-200x200x8,200,200,8,24,59.79,46.9,3620,7.78,362,426,FA,,FA,,
*,200x200,STKR,□-200x200x9,200,200,9,27,66.67,52.3,3990,7.73,399,472,FA,,FA,,
*,200x200,STKR,□-200x200x12,200,200,12,36,86.53,67.9,4980,7.59,498,601,FA,,FA,,
_,250x250,STKR,□-250x250x6,250,250,6,18,57.63,45.2,5670,9.92,454,524,FC,,FD,,
_,250x250,STKR,□-250x250x8,250,250,8,24,75.79,59.5,7320,9.82,585,683,FA,,FB,,
_,250x250,STKR,□-250x250x9,250,250,9,27,84.67,66.5,8090,9.78,647,759,FA,,FA,,
_,250x250,STKR,□-250x250x12,250,250,12,36,110.5,86.8,10300,9.63,820,975,FA,,FA,,
_,250x250,STKR,□-250x250x16,250,250,16,48,143.2,112,12800,9.44,1020,1240,FA,,FA,,
_,300x300,STKR,□-300x300x6,300,300,6,18,69.63,54.7,9960,12,664,764,FD,,FD,,
_,300x300,STKR,□-300x300x9,300,300,9,27,102.7,80.6,14300,11.8,956,1110,FB,,FC,,
_,300x300,STKR,□-300x300x12,300,300,12,36,134.5,106,18300,11.7,1220,1440,FA,,FA,,
_,300x300,STKR,□-300x300x16,300,300,16,48,175.2,138,23100,11.5,1540,1840,FA,,FA,,
_,300x300,STKR,□-300x300x19,300,300,19,57,204.3,160,26200,11.3,1750,2120,FA,,FA,,
_,350x350,STKR,□-350x350x9,350,350,9,27,120.7,94.7,23200,13.9,1320,1530,FC,,FC,,
_,350x350,STKR,□-350x350x12,350,350,12,36,158.5,124,29800,13.7,1700,1990,FA,,FB,,
_,350x350,STKR,□-350x350x16,350,350,16,48,207.2,163,37900,13.5,2160,2570,FA,,FA,,
_,350x350,STKR,□-350x350x19,350,350,19,57,242.3,190,43400,13.4,2480,2970,FA,,FA,,
_,350x350,STKR,□-350x350x22,350,350,22,66,276.2,217,48400,13.2,2760,3340,FA,,FA,,
_,400x400,STKR,□-400x400x9,400,400,9,27,138.7,109,35100,15.9,1750,2020,FC,,FD,,
_,400x400,STKR,□-400x400x12,400,400,12,36,182.5,143,45300,15.8,2270,2640,FB,,FC,,
_,400x400,STKR,□-400x400x16,400,400,16,48,239.2,188,57900,15.6,2900,3410,FA,,FA,,
_,400x400,STKR,□-400x400x19,400,400,19,57,280.3,220,66600,15.4,3330,3960,FA,,FA,,
_,400x400,STKR,□-400x400x22,400,400,22,66,320.2,251,74700,15.3,3740,4480,FA,,FA,,
_,400x400,STKR,□-400x400x25,400,400,25,75,358.9,282,82200,15.1,4110,4970,FA,,,,
_,450x450,STKR,□-450x450x9,450,450,9,27,156.7,123,50400,17.9,2240,2580,FD,,FD,,
