*,継手呼称,継手,key,鋼種,ボルト径,H,B,tw,tf,nF,mF,g1,g2,stfo,spL,stfi,spBi,mW,nW,Pc,stw,stB,stL,My,dZ,Qy,dAw,Ny,dA,Myy,dZy,Mu,αj,Lq,L1,L2
*,CCF-4X-J-1010・0609-16,柱,H-100x100x6x8,SN400,M16,100,100,6,8,2,2,56,,16,290,,,1,2,,9,50,350,12,51.1,54 ,4.00 ,346,14.75,4.1,17.5,24 ,1.2,0.58,4.23,1.62
_,CCF-4X-J-1212・0609-16,柱,H-125x125x6.5x9,SN400,M16,125,125,6.5,9,3,2,75,,12,410,,,1,2,,6,80,350,23.3,99.3,78 ,5.80 ,525,22.35,7.55,32.1,46 ,1.2,0.7,5.32,2.04
_,CCF-4X-J-1510・0609-16,柱,H-148x100x6x9,SN400,M16,148,100,6,9,2,2,56,,16,290,,,1,3,,9,80,410,21.8,93.1,91 ,6.70 ,441,18.79,4.61,19.6,43 ,1.2,0.61,4.07,1.53
_,CCF-4X-J-1515・0609-16,柱,H-150x150x7x10,SN400,M16,150,150,7,10,2,2,90,,9,290,9,60,1,3,,9,80,470,39.7,169,106 ,7.80 ,732,31.19,13,55.4,77 ,1.3,0.83,6.41,2.45
_,CCF-4X-J-1717・0912-16,柱,H-175x175x7.5x11,SN400,M16,175,175,7.5,11,3,2,105,,9,410,9,70,1,3,,9,80,410,63.4,270,137 ,10.10 ,990,42.16,20.5,87.3,121 ,1.4,0.97,7.44,2.75
*,CCF-4X-J-2010・0609-16,柱,H-200x100x5.5x8,SN400,M16,200,100,5.5,8,2,2,56,,16,290,,,2,2,60,6,140,290,29.5,126,110 ,8.10 ,444,18.93,4.1,17.5,58 ,1.2,0.67,3.81,1
_,CCF-4X-J-2015・0609-16,柱,H-194x150x6x9,SN400,M16,194,150,6,9,2,2,90,,9,290,9,60,2,2,60,6,140,350,49.6,211,113 ,8.40 ,692,29.47,11.7,49.9,94 ,1.3,0.95,6.2,1.74
_,CCF-4X-J-2512・0609-16,柱,H-250x125x6x9,SN400,M16,250,125,6,9,3,2,75,,12,410,,,2,2,90,9,170,290,56,238,159 ,11.80 ,665,28.33,7.56,32.2,108 ,1.2,0.81,4.8,1.13
_,CCF-4X-J-2517・0612-16,柱,H-244x175x7x11,SN400,M16,244,175,7,11,3,2,105,,9,410,9,70,2,2,90,9,170,290,94.5,402,176 ,13.00 ,1050,45.05,20.5,87.3,178 ,1.3,1.12,7.16,1.98
_,CCF-4X-J-3015・0609-16,柱,H-300x150x6.5x9,SN400,M16,300,150,6.5,9,2,2,90,,9,290,9,60,3,2,60,6,200,290,90.1,383,201 ,14.80 ,864,36.79,11.7,50,173 ,1.3,0.97,5.6,1.13
